id,name,unit_price,category,img_url,create_at
963078937,香油蒜泥,9,50,http://fuss10.elemecdn.com/b/d6/76e214acc5f9ae6e37c1c101c0bf4png.jpeg,1542809128
963097322,辣椒调味油,9,50,http://fuss10.elemecdn.com/d/7d/4660102038a2bcd7746e4819cdc45png.jpeg,1542809128
963078934,XO酱,9,50,http://fuss10.elemecdn.com/f/e1/dd6116cf05ea52bf3ab0d6cb0de55png.jpeg,1542809128
987839869,芝麻调和油,9,50,http://fuss10.elemecdn.com/3/e4/fc953d96b74dbb7031a33fd46ee05jpeg.jpeg,1542809128
827371159,精品肥牛,29,52,http://fuss10.elemecdn.com/6/97/fb0ec5a85665296dec7f78ab89ad6jpeg.jpeg,1542809128
987844579,捞派肥牛,30,51,http://fuss10.elemecdn.com/9/ea/138d37640d52cdd31714665b10bb0jpeg.jpeg,1542809128
633141903,草原羔羊肉,27,51,http://fuss10.elemecdn.com/0/8e/71079e89b28b0854349d7c568c167jpeg.jpeg,1542809128
140064775,新西兰羊肉,25,51,http://fuss10.elemecdn.com/8/fb/bf70cd245c8bcc327430c904e07e4jpeg.jpeg,1542809128
140064759,捞派豆花,12,53,http://fuss10.elemecdn.com/3/0c/d1be8b9bfc4c33f8590f4fbcf7d45jpeg.jpeg,1542809128
633144374,无刺巴沙鱼片,24,52,http://fuss10.elemecdn.com/5/47/87e0de95f1bb43c5bb053e14a7128jpeg.jpeg,1542809128
140064761,捞派毛肚,32,52,http://fuss10.elemecdn.com/4/b9/a9939889595698fab9d1f781cb764jpeg.jpeg,1542809128
1243091042,捞派黄喉,26,52,http://fuss10.elemecdn.com/3/5f/db4f7a2f7ee775c42c46c9a57ce06jpeg.jpeg,1542809128
987839878,捞派滑牛肉,28,52,http://fuss10.elemecdn.com/f/4b/50b4fcaa44a5f67bc97a35fcbb705jpeg.jpeg,1542809128
140064758,捞派鸭肠,20,52,http://fuss10.elemecdn.com/e/e0/227bbc6e799f2c298191052162c41jpeg.jpeg,1542809128
610187734,捞派鱼饼,14,52,http://fuss10.elemecdn.com/c/a0/d5f78fde6614bd515a59f1854dd8ejpeg.jpeg,1542809128
140064781,鹌鹑蛋,15,54,http://fuss10.elemecdn.com/b/53/9ed3844bdfa959bd2c870bd5b6eb5jpeg.jpeg,1542809128
1243085800,猪脑花,22,53,http://fuss10.elemecdn.com/0/91/78fc5ef3777198d5e63de437045cejpeg.jpeg,1542809128
827362198,脆皮肠,16,53,http://fuss10.elemecdn.com/f/a9/9ec0db767d27d278accb1bd472b3ajpeg.jpeg,1542809128
827362163,椒香腰花,23,53,http://fuss10.elemecdn.com/e/1e/c1871a1debb33381018c8da060310jpeg.jpeg,1542809128
827343914,蛋饺,14,53,http://fuss10.elemecdn.com/b/60/ad2c9334da2d3a044e2f53e9edb4bjpeg.jpeg,1542809128
140064771,血旺,15,53,http://fuss10.elemecdn.com/a/d7/8031fe6591a1d86df6f39fad5a715jpeg.jpeg,1542809128
532708257,鸭舌,27,53,http://fuss10.elemecdn.com/c/62/baff5f080a6af3dd819394818d094jpeg.jpeg,1542809128
533772660,脱骨鸭掌,21,53,http://fuss10.elemecdn.com/c/fb/b04f8ec7e14f28a182535728b806cjpeg.jpeg,1542809128
1243090615,午餐肉,20,53,http://fuss10.elemecdn.com/0/95/07626bd8eac15dfc0377de4fc2cbejpeg.jpeg,1542809128
827357846,肥肠,25,53,http://fuss10.elemecdn.com/f/18/1cd8579096bc3ef99938fc7a41262jpeg.jpeg,1542809128
550819074,蟹味棒,17,53,http://fuss10.elemecdn.com/8/3b/f5675fb56a418cb0e86f5f2625a97jpeg.jpeg,1542809128
987839891,潮州肉丸,20,55,http://fuss10.elemecdn.com/4/9b/03a14aa8aa28cbafec90884542338jpeg.jpeg,1542809128
987839892,招牌虾滑,29,54,http://fuss10.elemecdn.com/5/b1/5531318b0c28c9450d8d85ff5537djpeg.jpeg,1542809128
827362255,鱿鱼须,27,56,http://fuss10.elemecdn.com/6/fc/627e6ca21d087a7bbe0099502d51fjpeg.jpeg,1542809128
827343951,冻虾,33,55,http://fuss10.elemecdn.com/c/92/9094ab07429e65333409d609bc8d9jpeg.jpeg,1542809128
552425744,香菇,14,57,http://fuss10.elemecdn.com/2/d8/ef104f0d04bfa832b6783c7475140jpeg.jpeg,1542809128
140064791,金针菇,12,56,http://fuss10.elemecdn.com/8/2f/0ffdb9fd3d739357d143baf614de1jpeg.jpeg,1542809128
